capability_id,capability_area,capability,white_dune_status,white_dune_evidence,wrlforge_status,wrlforge_evidence,standards_relevance,recommended_action,priority,licensing_risk,notes
FF-01,file-format,Load/save VRML97 (.wrl) classic encoding,confirmed,"man/dune.1 NAME+DESCRIPTION ""VRML97, ISO/IEC 14772-1:1997""; -vrml97 conversion option",partial,"Loads+saves TEXT only: src/editor/file-io.js loadDocument/safeSave; NO structural serializer anywhere (verified by grep across src/, main.js, renderer/)",ISO/IEC 14772-1 clause 6,keep WRLForge text-save; add patch-based writer in WD1,P0,none,WRLForge round-trips bytes it never re-generates; that is why it is currently lossless by construction
FF-02,file-format,gzip-transparent .wrl read/write,probable,not stated in dune.1; White Dune links zlib (batch/jpg_png_zlib.bat),confirmed,src/files/vrml-file.js isGzip magic bytes; src/preview/wrl-source.js readWrlSource; file-io.js encodeForSave never silently rewrites gzip as plain,not in ISO spec (transport convention),keep as-is; WD1 must preserve format round-trip,P0,none,WRLForge behaviour here is stronger/more explicit than the White Dune evidence proves
FF-03,file-format,X3D XML (.x3d) encoding,confirmed,"dune.1: ""-x3d Convert file to XML encoded X3D""; requires expat",not_found,no X3D XML reader/writer in repo,ISO/IEC 19776-1,"defer to WD9, only after .x3dv (owner-approved 2026-08-06)",P3,none,XML .x3d only if there is real demand; not the full X3D 4.0 surface
FF-04,file-format,X3D classic (.x3dv) encoding,confirmed,dune.1 SYNOPSIS accepts file.x3dv; -x3dv and -vrml97levelx3dv options,not_found,"tokenizer accepts only ""#VRML"" header (src/vrml/tokenizer.js tryHeader)",ISO/IEC 19776-2,WD9: .x3dv classic encoding FIRST (owner-approved 2026-08-06),P3,none,tokenizer header check is the single blocking point; .x3dv precedes any XML .x3d work
FF-05,file-format,Repair illegal VRML97 extensions,confirmed,"dune.1 ""-illegal2vrml ... repair VRML97 files with illegal extensions""; man/illegal2vrml.1",partial,src/vrml/parser.js leniently ACCEPTS Cybertown/Blaxxun ROUTE/PROTO inside MFNode arrays (parseArray) but never rewrites,conformance,keep lenient parse; do NOT auto-repair,P2,none,WRLForge deliberately reads-but-does-not-rewrite; auto-repair conflicts with lossless-edit goal
DC-01,document-core,Trivia/comment-preserving token layer,not_found,no evidence of a lossless CST in White Dune; it parses to a Node tree and re-writes whole files,confirmed,"src/vrml/tokenizer.js attaches leadingTrivia (whitespace/comma/comment) to every token; VERIFIED byte-exact reconstruction on 53/53 parseable fixtures, 0 mismatches",ISO 14772-1 clause 4 (comments are not semantic),BUILD WD1 on this; it is the single strongest existing foundation,P0,none,"This is WRLForge ahead of White Dune, not behind it"
DC-02,document-core,Exact source spans on every tree node,not_found,"White Dune Node objects are semantic, not span-anchored",confirmed,"src/vrml/ast.js: every node carries range{start,end} with offset/line/column; used by src/editor/language.js spanOf",n/a (implementation),reuse verbatim for patch-based editing,P0,none,enables span-targeted edits without reserialising
DC-03,document-core,Structural serializer / unparser,confirmed,White Dune writes VRML97/X3DV/X3D from its node tree (dune.1 CONVERSIONOPTIONS),not_found,"grep for serialize/stringify/unparse/emit across src+main.js+renderer returns only unrelated matches (formatLabel, serializeScan)",ISO 14772-1 clause 4 + grammar,"BUILD in WD1 as a PATCH writer, not a whole-file writer",P0,high-if-ported,Do not study White Dune write path; a patch writer is a different design anyway
DC-04,document-core,Whole-file reformat on save,confirmed,White Dune rewrites the entire file from its tree on every save,not_found,WRLForge never regenerates source,n/a,REJECT - explicitly not wanted,P0,none,OBSOLETE concept: this is the behaviour WRLForge must NOT adopt
DC-05,document-core,Stable node identity across edits,probable,White Dune has in-memory Node pointers; persistence across reparse not evidenced,not_found,"no identity concept; wrl-document.js holds {sourcePath,format,baseline,text,stat} - plain text only",n/a,BUILD in WD1,P0,none,required before any GUI selection can survive a text edit
