node,component_area,parser_support,serializer_support,syntax_highlighting,diagnostics,xite_preview,gui_metadata,scene_tree_ready,inspector_ready,creation_ready,route_event_metadata,white_dune_evidence,tests,iso_field_count,xite_extra_x3d_fields,notes
Anchor,grouping,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeAnchor.cpp (white_dune 1.930),fixture-present,8,6,"named in src/preview/bbox-traversal.js fit math; carries url field -> src/world-project/url-fields.js asset graph; 6 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: autoRefresh, autoRefreshTimeLimit, bboxDisplay, load, metadata, visible"
Appearance,appearance,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeAppearance.cpp (white_dune 1.930),fixture-present,3,11,"11 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: acousticProperties, alphaCutoff, alphaMode, backMaterial, blendMode, depthMode..."
AudioClip,sound,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeAudioClip.cpp (white_dune 1.930),fixture-present,8,8,"carries url field -> src/world-project/url-fields.js asset graph; 8 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: autoRefresh, autoRefreshTimeLimit, enabled, gain, load, metadata..."
Background,bindable,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeBackground.cpp (white_dune 1.930),fixture-present,12,2,"carries url field -> src/world-project/url-fields.js asset graph; 2 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata, transparency"
Billboard,grouping,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeBillboard.cpp (white_dune 1.930),no-fixture,6,3,"named in src/preview/bbox-traversal.js fit math; 3 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: bboxDisplay, metadata, visible"
Box,geometry,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeBox.cpp (white_dune 1.930),fixture-present,1,2,"named in src/preview/bbox-traversal.js fit math; 2 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata, solid"
Collision,grouping,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeCollision.cpp (white_dune 1.930),no-fixture,8,5,"named in src/preview/bbox-traversal.js fit math; 5 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: bboxDisplay, description, enabled, metadata, visible"
Color,geometric-property,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeColor.cpp (white_dune 1.930),no-fixture,1,1,1 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata
ColorInterpolator,interpolator,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeColorInterpolator.cpp (white_dune 1.930),no-fixture,4,1,1 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata
Cone,geometry,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeCone.cpp (white_dune 1.930),fixture-present,4,2,"named in src/preview/bbox-traversal.js fit math; 2 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata, solid"
Coordinate,geometric-property,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeCoordinate.cpp (white_dune 1.930),fixture-present,1,1,1 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata
CoordinateInterpolator,interpolator,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeCoordinateInterpolator.cpp (white_dune 1.930),no-fixture,4,1,1 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata
Cylinder,geometry,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeCylinder.cpp (white_dune 1.930),fixture-present,5,2,"named in src/preview/bbox-traversal.js fit math; 2 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata, solid"
CylinderSensor,sensor-pointing,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeCylinderSensor.cpp (white_dune 1.930),no-fixture,9,3,"3 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: axisRotation, description, metadata"
DirectionalLight,lighting,generic-structural,none,generic,syntax-only; mall-forbidden,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeDirectionalLight.cpp (white_dune 1.930),no-fixture,5,4,"Mall Item profile FORBIDS this node (validator.js FORBIDDEN_NODES); 4 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: global, metadata, shadowIntensity, shadows"
ElevationGrid,geometry,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeElevationGrid.cpp (white_dune 1.930),no-fixture,14,4,"named in src/preview/bbox-traversal.js fit math; 4 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: attrib, fogCoord, metadata, tangent"
Extrusion,geometry,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeExtrusion.cpp (white_dune 1.930),fixture-present,14,1,named in src/preview/bbox-traversal.js fit math; 1 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata
Fog,bindable,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeFog.cpp (white_dune 1.930),no-fixture,5,2,"2 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata, visibilityStart"
FontStyle,appearance,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeFontStyle.cpp (white_dune 1.930),no-fixture,9,1,1 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata
Group,grouping,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeGroup.cpp (white_dune 1.930),fixture-present,5,3,"named in src/preview/bbox-traversal.js fit math; 3 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: bboxDisplay, metadata, visible"
ImageTexture,appearance,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeImageTexture.cpp (white_dune 1.930),fixture-present,3,6,"carries url field -> src/world-project/url-fields.js asset graph; 6 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: autoRefresh, autoRefreshTimeLimit, description, load, metadata, textureProperties"
IndexedFaceSet,geometry,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeIndexedFaceSet.cpp (white_dune 1.930),fixture-present,18,4,"named in src/preview/bbox-traversal.js fit math; 4 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: attrib, fogCoord, metadata, tangent"
IndexedLineSet,geometry,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeIndexedLineSet.cpp (white_dune 1.930),no-fixture,7,5,"named in src/preview/bbox-traversal.js fit math; 5 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: attrib, fogCoord, metadata, normal, tangent"
Inline,grouping,generic-structural,none,generic,syntax-only; mall-forbidden,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeInline.cpp (white_dune 1.930),fixture-present,3,8,"Mall Item profile FORBIDS this node (validator.js FORBIDDEN_NODES); carries url field -> src/world-project/url-fields.js asset graph; 8 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: autoRefresh, autoRefreshTimeLimit, bboxDisplay, description, global, load..."
LOD,grouping,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeLOD.cpp (white_dune 1.930),no-fixture,3,9,"named in src/preview/bbox-traversal.js fit math; 9 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: addChildren, bboxCenter, bboxDisplay, bboxSize, children, forceTransitions..."
Material,appearance,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeMaterial.cpp (white_dune 1.930),fixture-present,6,17,"17 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: ambientTexture, ambientTextureMapping, diffuseTexture, diffuseTextureMapping, emissiveTexture, emissiveTextureMapping..."
MovieTexture,appearance,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeMovieTexture.cpp (white_dune 1.930),fixture-present,9,11,"carries url field -> src/world-project/url-fields.js asset graph; 11 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: autoRefresh, autoRefreshTimeLimit, description, enabled, gain, load..."
NavigationInfo,bindable,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeNavigationInfo.cpp (white_dune 1.930),fixture-present,7,3,"3 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata, transitionTime, transitionType"
Normal,geometric-property,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeNormal.cpp (white_dune 1.930),no-fixture,1,1,1 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata
NormalInterpolator,interpolator,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeNormalInterpolator.cpp (white_dune 1.930),no-fixture,4,1,1 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata
OrientationInterpolator,interpolator,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeOrientationInterpolator.cpp (white_dune 1.930),fixture-present,4,1,1 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata
PixelTexture,appearance,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodePixelTexture.cpp (white_dune 1.930),no-fixture,3,3,"3 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: description, metadata, textureProperties"
PlaneSensor,sensor-pointing,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodePlaneSensor.cpp (white_dune 1.930),no-fixture,8,3,"3 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: axisRotation, description, metadata"
PointLight,lighting,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodePointLight.cpp (white_dune 1.930),no-fixture,7,4,"4 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: global, metadata, shadowIntensity, shadows"
PointSet,geometry,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodePointSet.cpp (white_dune 1.930),no-fixture,2,5,"named in src/preview/bbox-traversal.js fit math; 5 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: attrib, fogCoord, metadata, normal, tangent"
PositionInterpolator,interpolator,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodePositionInterpolator.cpp (white_dune 1.930),no-fixture,4,1,1 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata
ProximitySensor,sensor-environment,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeProximitySensor.cpp (white_dune 1.930),no-fixture,8,2,"2 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: description, metadata"
ScalarInterpolator,interpolator,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeScalarInterpolator.cpp (white_dune 1.930),no-fixture,4,1,1 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata
Script,scripting,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeScript.cpp (white_dune 1.930),fixture-present,5,7,"validator.js also forbids EXTERNPROTO (a statement, not a node); carries url field -> src/world-project/url-fields.js asset graph; 7 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: autoRefresh, autoRefreshTimeLimit, description, field, load, metadata..."
Shape,appearance,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeShape.cpp (white_dune 1.930),fixture-present,2,7,"named in src/preview/bbox-traversal.js fit math; 7 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: bboxCenter, bboxDisplay, bboxSize, castShadow, metadata, pointerEvents..."
Sound,sound,generic-structural,none,generic,syntax-only; mall-forbidden,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeSound.cpp (white_dune 1.930),fixture-present,10,3,"Mall Item profile FORBIDS this node (validator.js FORBIDDEN_NODES); 3 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: description, enabled, metadata"
Sphere,geometry,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeSphere.cpp (white_dune 1.930),fixture-present,1,2,"named in src/preview/bbox-traversal.js fit math; 2 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: metadata, solid"
SphereSensor,sensor-pointing,generic-structural,none,generic,syntax-only,declared,absent-in-wrlforge; available-from-x_ite.d.ts,generic-outline,no,no,absent-in-wrlforge; available-from-x_ite.d.ts,confirmed: src/NodeSphereSensor.cpp (white_dune 1.930),no-fixture,6,2,"2 X3D-only field(s) in x_ite.d.ts must be filtered in strict VRML97 mode: description, metadata"
